IDD_DIALOG_EC_PUB_PARAM     IDD_SHOW_PUBLICKEY_EC
IDD_DIALOG_SIGN             IDD_SIGNATURE
IDD_DIALOG_EXTRACT_SIGNATURE IDD_EXTRACT_SIGNATURE
IDD_DIALOG_SHOW_SIGN_STEPS  IDD_ECSIGNATRURE_STEPBYSTEP
IDD_SIGN_TUTORIAL           IDD_SIGNATURE_DEMO
IDD_DIALOG_SIGN_VERIF       IDD_VERIFY_SIGNATURE
IDD_DIALOG_SHOW_VERIF_STEPS IDD_VERIFY_ECSIGNATURE_STEPBYSTEP
IDD_DIALOG_ANALYSE_OPT_MONO IDD_OPTIONS_SUBSTITUTION_ANALYSIS
IDD_DIALOG_TIPPS_AND_TRICKS IDD_TIPPS_AND_TRICKS
IDD_DIALOG_ZAHL_FAKTORISIEREN IDD_FACTORISATION_DEMO
IDD_DIALOG_KEY_PLAYFAIR     IDD_KEY_PLAYFAIR
IDD_DIALOG_SCHLUESSEL_GEN   IDD_KEY_FROM_PASSWORD
IDD_DIALOG_ERSETZEN         IDD_MANUAL_SUBST_ANALYSIS
IDD_DIALOG_FREQTEST         IDD_FRQ_TEST
IDD_DIALOG_CLASSICAL_TESTS_OF_RANDOMNESS_RUN_TESTS IDD_RUNS_TEST
IDD_DIALOG_CLASSICAL_TESTS_OF_RANDOMNESS_FIPS_PUB IDD_FIPS_PUB_140_1
IDD_DIALOG_HOMOPHONE        IDD_KEY_HOMOPHONE 
IDD_DIALOG_GEN_EC_KURVE     IDD_EC_GENERATION 
IDD_DIALOG_HASHDEMO         IDD_HASH_DEMO 
IDD_DIALOG_SCHLUESSEL_HILL_EINGABE       IDD_KEY_HILL5X5
IDD_DIALOG_SCHLUESSEL_HILL_EINGABE_GROSS IDD_KEY_HILL_10X10
IDD_DIALOG_SCHLUESSEL_HILL_ANGRIFF       IDD_SHOW_KEY_HILL5x5
IDD_DIALOG_SCHLUESSEL_HILL_ANGRIFF_GROSS IDD_SHOW_KEY_HILL10x10
IDD_DIALOG_HYBRID           IDD_HYBRID_ENCRYPTION_DEMO 
IDD_DIALOG_ANALYSE_OPT      IDD_OPTIONS_ANALYSIS 
IDD_DIALOG_PIN_VERIFICATION IDD_CHANGE_PIN 
IDD_DIALOG_PINCODE          IDD_PIN_ACCESS 
IDD_DIALOG_RSA_MIT_KLEINEN_PRIMZAHLEN IDD_RSA_DEMO 
IDD_DIALOG_RSADEC           IDD_RSA_DECRYPTION 
IDD_DIALOG_RSAENC           IDD_RSA_ENCRYPTION 
IDD_DIALOG_SCHLUESSEL_AUSGABE_LINEAR     IDD_SHOW_KEY 
IDD_DIALOG_SELECT_HASHFUNCTION           IDD_SELECT_HASHFUNCTION 
IDD_DIALOG_TEXTEINGABE_HILL_ANGRIFF      IDD_HILL_ANALYSIS 
IDD_DIALOG_TEXTOPTIONEN     IDD_RSADEMO_OPTIONS 
IDD_DIALOG_KEY_INPUT        IDD_KEY 

